,programTitle,infoCat,region,url,description,organization,contact,page
511,['Business Structure'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/business-and-economics/business-management/business-structure.html'],['\nMany factors may influence the structure you choose for your farm business. Knowledge and advice can help you choose the one that best suits your operation. Explore these topics and resources to make sound decisions.\n'],['\nManitoba Agriculture and Resource Development\n'],['\n1-844-769-6224\n\nmbfarmbusiness@gov.mb.ca\n\n'],6
512,['Buy BC Partnership Program'],[],[],['http://iafbc.ca/buy-bc/'],['\nThe Buy BC Partnership Program provides cost-shared funding and a recognizable Buy BC logo to help B.C.’s agrifood and seafood sector market their products and increase sales within B.C.\n'],['\nInvestment Agriculture Foundation of BC\n'],['\n1-250-940-6150\n1-250-953-5162\n\nfunding@iafbc.ca\n\n'],6
513,['Buy Local NS'],[],[],['https://buylocal.novascotia.ca/'],"['\nPromotes Nova Scotian foods (agriculture, fisheries and aquaculture, processed) to consumers and industry (restaurants, food service, grocery retailers) through a website.\n']",['\nNova Scotia Department of Agriculture\n'],['\n\nbuylocalns@novascotia.ca\n\n'],6
514,['Buy Local Partnership Program 2020-2021'],[],[],['https://novascotia.ca/programs/buy-local'],['\nThis program will help the agriculture and agri-food industries meet the criteria to join local marketing initiatives like Taste of Nova Scotia and other similar initiatives. It also helps them expand their current established market share and foster local economic growth.\n'],['\nNova Scotia Department of Agriculture\n'],['\n1-902-893-6377\n1-866-844-4276\n1-902-893-7579\n\nprm@novascotia.ca\n\n'],6
515,['CETA for Agri-Food Exporters'],['Guides/Information'],[],['https://agriculture.canada.ca/en/international-trade/market-intelligence/ceta-agri-food-exporters'],['\nThe Canada-European Union (EU) Comprehensive Economic and Trade Agreement (CETA) can help Canadian exporters access EU agri-food markets. CETA gives you an advantage over competitors in countries that do not have free trade agreements in force with the EU.\n'],['\nAgriculture and Agri-Food Canada\n'],['\nMarket Access Secretariat\n\naafc.mas-sam.aac@agr.gc.ca\n\n'],6
516,['COVID-19 - Information for the agriculture and agri-food industry'],[],[' Across Canada '],['https://agriculture.canada.ca/en/covid-19-information-agriculture-and-agri-food-industry'],"['\nAgriculture and Agri-Food Canada (AAFC) is taking action to address the challenges posed by COVID-19 (coronavirus disease). This page contains information for those in the agriculture industry (producers, processors, and agri-food businesses).\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-866-367-8506\n\naafc.info.aac@agr.gc.ca\n\n'],6
517,['COVID-19 Recovery'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/food-and-ag-processing/starting-a-food-business/resources.html'],['\nAre you looking for guidance for your business during the COVID-19 pandemic? There are many resources available to support businesses during this challenging time.\xa0\n'],['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagriculture@gov.mb.ca\n\n\nhttps://www.gov.mb.ca/agriculture/contact/index.html\n\n'],6
518,['CPTPP Benefits for Canadian Beef and Pork Exporters'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/market-intelligence/cptpp/cptpp-benefits-canadian-beef-and-pork-exporters'],['\nThe Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP) offers Canadian beef and pork exporters preferential access and tariff reductions to key global markets.\n'],['\nAgriculture and Agri-Food Canada\n'],"['\n\naafc.info.aac@agr.gc.ca\n\n1-613-773-1081\n1-613-773-2600\n1-855-773-0241\n', '\nMarket Access Secretariat\n\naafc.mas-sam.aac@agr.gc.ca\n\n']",6
519,['CPTPP Benefits for Canadian Beverage Exporters'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/market-intelligence/cptpp/cptpp-benefits-canadian-beverage-exporters'],"['\nAs the CPTPP is implemented, tariffs will be eliminated or reduced on a wide range of Canadian exports for the agricultural sector, including: meat, grains, pulses, maple syrup, wines and spirits, seafood, and agri-food products.Find information on enhanced opportunities, tariff reductions, rules of origin and product classification\n']",['\nAgriculture and Agri-Food Canada\n'],"['\nMarket Access Secretariat\n\naafc.mas-sam.aac@agr.gc.ca\n\n', '\nGeneral enquiries\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n']",6
520,['CPTPP Benefits for Canadian Canola and Soy Exporters'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/market-intelligence/cptpp/cptpp-benefits-canadian-canola-and-soy-exporters'],"['\nAs the CPTPP is implemented, tariffs will be eliminated or reduced on a wide range of Canadian exports for the agricultural sector, including: meat, grains, pulses, maple syrup, wines and spirits, seafood, and agri-food products.Find information on enhanced opportunities, tariff reductions, rules of origin and product classification\n']",['\nAgriculture and Agri-Food Canada\n'],"['\nMarket Access Secretariat\n\naafc.mas-sam.aac@agr.gc.ca\n\n', '\nGeneral enquiries\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n']",6
521,['CPTPP Benefits for Canadian Fish and Seafood Exporters'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/market-intelligence/cptpp/cptpp-benefits-canadian-fish-and-seafood-exporters'],"['\nAs the CPTPP is implemented, tariffs will be eliminated or reduced on a wide range of Canadian exports for the agricultural sector, including: meat, grains, pulses, maple syrup, wines and spirits, seafood, and agri-food products.Find information on enhanced opportunities, tariff reductions, rules of origin and product classification\n']",['\nAgriculture and Agri-Food Canada\n'],"['\nMarket Access Secretariat\n\naafc.mas-sam.aac@agr.gc.ca\n\n', '\nGeneral enquiries\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n']",6
522,['CPTPP Benefits for Canadian Honey and Maple Product Exporters'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/market-intelligence/cptpp/cptpp-benefits-canadian-honey-and-maple-product-exporters'],"['\nAs the CPTPP is implemented, tariffs will be eliminated or reduced on a wide range of Canadian exports for the agricultural sector, including: meat, grains, pulses, maple syrup, wines and spirits, seafood, and agri-food products.Find information on enhanced opportunities, tariff reductions, rules of origin and product classification\n']",['\nAgriculture and Agri-Food Canada\n'],"['\nMarket Access Secretariat\n\naafc.mas-sam.aac@agr.gc.ca\n\n', '\nGeneral enquiries\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n']",6
523,['CPTPP for Agri-Food Exporters'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/market-intelligence/cptpp'],"['\nThe Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP) is a new free trade agreement between Australia, Brunei, Canada, Chile, Japan, Malaysia, Mexico, New Zealand, Peru, Singapore, and Vietnam. The CPTPP entered into force for Canada on December 30, 2018, providing new opportunities for Canadian exporters of agriculture and agri-food products.\n']",['\nAgriculture and Agri-Food Canada\n'],"['\nMarket Access Secretariat\n\naafc.mas-sam.aac@agr.gc.ca\n\n', '\nGeneral enquiries\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n']",6
524,['Calcium in Apples'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/IPM/english/apples/plant-nutrition/calcium.html'],['\nCalcium is a vital component in cell walls and is involved in the movement of sugars and starches within the plant.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],6
525,['Calgary Co-op'],[],[],['https://www.calgarycoop.com/'],['\nProvides recipes and information about co-ops in Calgary.\n'],['\nCalgary Co-op\n'],"['\n110, 151-86 Avenue S.E. Calgary, AB, T2H 3A5\n1-403-219-6025\n\nfeedback@calgarycoop.com\n\n']",6
526,['Calyx End Rot & Dry End Rot'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/IPM/english/apples/diseases-and-disorders/calyx-dry-end-rot.html'],['Information on calyx and dry end rot in apples.\xa0'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],6
527,['CanExport SMEs'],[],[' Across Canada '],['https://www.tradecommissioner.gc.ca/funding-financement/canexport/sme-pme/index.aspx?lang=eng'],"['\nPersonalized advice and up to $75,000 in funding to help Canadian small and medium-sized enterprises (SMEs) break into new international markets.\n']",['\nTrade Commissioner Service\n'],['\n1-866-203-2454\n\nCanExport@international.gc.ca\n\n'],6
528,['CanFax'],[],[' Across Canada '],['http://www.canfax.ca/'],"[""\nCanfax, a division of\xa0Canadian Cattlemen's Association, provides the Canadian beef industry with comprehensive statistical and market information on the domestic and global beef trends.\n""]",['\nCanfax\n'],['\n403-275-5110\n403-275-6943\n\nhttp://www.canfax.ca/ContactUs.aspx\n\n'],6
529,['Canada Beef'],[],[' Across Canada '],['https://canadabeef.ca/'],"['Provides information on Canadian beef, recipes, and resources for producers.']",['\nCanada Beef\n'],"['\n6715-8th Street NE, Suite 146, Calgary, AB, T2E 7H7\n1-403-275-5890\n1-403-275-9288\n\ninfo@canadabeef.ca\n\n']",6
530,['Canada Brand'],[],[' Across Canada '],['https://marquecanadabrand.agr.gc.ca/intro/index-eng.htm'],"['\nCanada Brand members have access to a suite of tools, free of charge, including specialized graphics in multiple formats and languages, professional Canadian photography, and market research reports.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.canadabrand-marquecanada.aac@agr.gc.ca\n\n'],6
531,['Canada Digital Adoption Program'],[],[' Across Canada '],['https://www.ic.gc.ca/eic/site/152.nsf/eng/home'],"['\nThe program provides funding and expertise to businesses, as well as training and work opportunities for young Canadians.\n']","['\nInnovation, Science and Economic Development Canada\n']",['\n1-800-328-6189\n1-866-694-8389\n\nhttps://www.ic.gc.ca/eic/site/152.nsf/frm-eng/JVAE-C7XKBU\n\n'],6
532,['Canada Farmers Market'],['Guides/Information'],[' Across Canada '],['https://www.canadianfarmersmarkets.com/'],"[""\nThe Canadian Farmers' Markets is a coalition of farmers’ market associations building and strengthening local food systems across the country. We are a nationwide forum for collaboration and advocacy and the voice of Canada’s farmers’ market sector.\n""]",['\nCanada Farmers Market\n'],['\nhttps://www.canadianfarmersmarkets.com/\n'],6
533,['Canada Grains Council'],[],[' Across Canada '],['https://canadagrainscouncil.ca/'],"['\nRepresents the grain, oilseed, pulse and special crop industries in Canada.\n']",['\nCanada Grains Council\n'],"['\n350 Sparks Street, Suite 703, Ottawa, ON K1R 7S8\n1-613-422-0166\n\noffice@canadagrainscouncil.ca\n\n']",6
534,['Canada Mink Breeders Association'],[],[' Across Canada '],['http://www.canadamink.ca/'],"['\nCMBA on behalf of its members provides leadership in research, best farming practices, marketing, and promotion of the interests of the fur farming sector nationally and internationally. The goal is to ensure the permanent prosperity of the Canadian mink farming industry.\n']",['\nCanada Mink Breeders Association\n'],['\n\nhttp://www.canadamink.ca/about-cmb/contact/\n\n'],6
535,['Canada Organic Trade Association'],[],[' Across Canada '],['https://www.canada-organic.ca/en'],['\nSupports the growth of organic products in domestic and export markets.\n'],['\nCanada Organic Trade Association\n'],"['\nTia Loftsgard\n4 Florence Street, Suite 210, Ottawa, ON, K2P 0W7\n1-613-482-1717\n\ninfo@canada-organic.ca\n\n']",6
536,['Canada Pavilion Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/trade-show-service/canada-pavilion-program'],['\nThe Canada Pavilion Program aims to make trade show participation easier for Canadian companies at the world’s premier food and beverage events ‘where the world shops’.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.mas-sam.aac@canada.ca\n\n1-613-773-1081\n1-613-773-2600\n1-855-773-0241\n'],6
537,['Canada Pension Plan'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/facts/15-029.htm'],['\nThis Factsheet is intended to serve as a guide to the Canada Pension Plan and not as expert advice.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],6
538,['Canada Pork International'],[],[' Across Canada '],['http://canadapork.com/'],"['\nJoint initiative of the Canadian Meat and Pork Councils, representing pork packers and trading companies.\n']",['\nCanada Pork International\n'],"['\n220 Laurier Avenue West, Suite 900, Ottawa, ON, K1P 5Z9\n1-613-236-9886\n\ncpi@canadapork.com\n\n']",6
539,['Canada Supply and Disposition'],[],[],['https://open.alberta.ca/publications/canada-supply-and-disposition'],"['\nData on historic and projected supplies, production, imports, exports, usage, and stocks of grains in Canada.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],6
540,['Canada United Small Business Relief Fund'],[],[' Across Canada '],['https://occ.ca/canada-united-small-business-relief-fund/'],['\nThe Canada United Small Business Relief Fund (CUSBRF) was established to help small businesses offset the cost of expenses to reopen safely or adopt digital technologies to move more of their business online.\n'],['\nOntario Chamber of Commerce\n'],['\n1-866-855-9553\n'],6
541,['Canada and Saskatchewan Community Pasture Transition Program'],[],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/canadian-agricultural-partnership-cap/risk-management/pasture-transition-program'],['\n\nThe Canada Community Pasture Transition Program and Saskatchewan Pasture Program (SPP) Transition Program offer funds to help Canada Community Pasture Program and SPP Transition Program patrons lease Saskatchewan pasture land.\n\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3938\n1-866-457-2377\n'],6
542,"[""Canada's Outstanding Young Farmers Program""]",[],[' Across Canada '],['http://oyfcanada.com/language/en/'],['\nRecognizes young farmers between the ages of 18 and 39 who get a minimum of two-thirds of their income from farm operations.\n'],"[""\nCanada's Outstanding Young Farmers Program\n""]",['\nCarla Kaeding\n1-306-896-7833\n\nCanadaOYF@gmail.com\n\n'],6
543,"[""Canada's agriculture sectors""]",[],[' Across Canada '],['https://agriculture.canada.ca/en/canadas-agriculture-sectors'],"['\nAgriculture industry by sector, data on international markets, initiatives to support awareness of the industry in Canada.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.info.aac@agr.gc.ca\n\n1-613-773-1081\n1-613-773-2600\n1-855-773-0241\n'],6
544,['Canada-BC Agri-Innovation Program'],[],[],['https://iafbc.ca/agri-innovation/'],"['\nProvides funding for research and pilot projects leading to the commercialization and/or adoption of innovative products, technologies and practices.\n']",['\nInvestment Agriculture Foundation of BC\n'],['\n\nfunding@iafbc.ca\n\n1-250-940-6150\n'],6
545,['Canada-Ontario Environmental Farm Plan (EFP)'],[],[],['https://www.ontariosoilcrop.org/oscia-programs/workshops-webinars/environmental-farm-plan/'],"['\nThe Ontario Ministry of Agriculture, Food and Rural Affairs continues to offer workshops, resources and eLearning opportunities at no cost for the agri-food and agri-products sector.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\noscia@ontariosoilcrop.org\n\n1-519-826-4214\n1-800-265-9751\n'],6
546,['Canada-Ontario Transported Feed AgriRecovery Initiative'],[],[],['https://www.agricorp.com/en-ca/Programs/AgriRecovery/transported-feed/Pages/Overview.aspx'],['\nProvides government support to livestock farmers in northwestern Ontario who have incurred extraordinary costs to source feed or transport livestock to feed arising from drought conditions since June of 2021\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-888-247-4999\n1-877-275-1380\n\ntransportfeed@agricorp.com\n\n'],6
547,['Canada-Quebec Initiative to Assist Livestock Producers in Mitigating the Impact of COVID-19 for 2020-2021'],[],[],['https://www.fadq.qc.ca/en/canada-quebec-initiative-to-assist-livestock-producers-in-mitigating-the-impact-of-covid-19-for-2020-2021/description/'],['\nThe federal and Quebec governments have jointly developed an AgriRecovery initiative to support Quebec livestock producers affected by the COVID-19 pandemic. This initiative provides financial assistance to compensate for some of the additional expenses incurred by producers to keep surplus animals on the farm.\n'],['\nLa Financière agricole du Québec\n'],['\n1-418-838-5602\n1-800-749-3646\n1-418-833-3871\n\nhttps://www.fadq.qc.ca/en/contact-us/#centre-de-services\n\n'],6
548,['Canada-Saskatchewan Irrigation Diversification Centre'],[],[],['https://agriculture.canada.ca/en/about-our-department/offices-and-locations/canada-saskatchewan-irrigation-diversification-centre'],['\nThe Canada-Saskatchewan Irrigation Diversification Centre (CSIDC) promotes economically and environmentally sustainable irrigation practices to producers and industry.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.csidc-crdi.aac@agr.gc.ca\n\n1-306-867-9656\n1-306-867-5400\n'],6
549,"[""Canada-United States-Mexico Agreement and Canada's Agriculture Sector""]",['Guides/Information'],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/market-intelligence/canada-united-states-mexico-agreement-and-canadas-agriculture-sector'],"['\nOn September 30, 2018, the United States, Mexico and Canada announced the completion of negotiations toward a new Canada-United States-Mexico Agreement (CUSMA). The CUSMA will preserve the existing agriculture commitments between Canada, the United States (U.S.), and Mexico, and help to further bring together an already highly integrated industry.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@canada.ca\n\n'],6
550,['Canada-Yukon Canadian Agricultural Partnership Funding Report 2018-2019'],['Guides/Information'],[],['https://yukon.ca/en/canada-yukon-canadian-agricultural-partnership-funding-report-2018-2019'],['\nThis report provides an overview of the projects approved in Yukon under the Canada-Yukon Canadian Agricultural Partnership in 2018-2019. It details the amount of approved funding and total project costs. Published by the Agriculture Branch.\n'],"['\nGovernment of Yukon, Agriculture Branch\n']",['\n1-867-667-5838\n\nagriculture@gov.yk.ca\n\n'],6
551,['CanadaGAP Program'],[],[],['https://www.canadagap.ca/'],['\nCanadaGAP® is a program developed in Canada to promote Good Agricultural Practices (GAPs) for fruit and vegetable suppliers.\n'],['\nCanadaGAP Program\n'],"['\n245 Menten Place, Suite 312 Ottawa, ON Canada K2H 9E8\n1-613-829-4711\n\ninfo@canadagap.ca\n\n']",6
552,['Canada’s Lands Company'],[],[' Across Canada '],['https://www.clc-sic.ca/'],"['\nThe principal goal of the company\'s mandate as determined by Cabinet is: ""to ensure the commercially oriented, orderly disposition of surplus properties with optimal value to the Canadian taxpayer and the holding of certain properties.""\n']",['\nCanada’s Lands Company\n'],['\n1-416 214-1198\n\nmlapensee@clc.ca\n\n\nhttp://www.clcl.ca/contact-us\n\n'],6
553,['Canadian Agri-Food Policy Institute'],[],[' Across Canada '],['https://capi-icpa.ca/'],"['\nLeads policy analysis on agri-food issues, and advances public policy.\xa0\n']",['\nCanadian Agri-Food Policy Institute\n'],"['\n960 Carling Avenue, Central Experimental Farm, Building 49, Ottawa, ON, K1A 0C6\n1-613-759-1027\n\ninfo@capi-icpa.ca\n\n']",6
554,['Canadian Agri-Food Trade Alliance'],[],[' Across Canada '],['http://cafta.org/'],['\nCAFTA’s core mandate is to advance multilateral liberalization of agriculture and agri-food trade through the progressive reduction of trade distorting protection and support.\n'],['\nCanadian Agri-Food Trade Alliance\n'],['\n\ninfo@cafta.org\n\n1-613-560-0500\n'],6
555,['Canadian Agri-Marketing Association'],[],[' Across Canada '],['https://www.cama.org/'],['\nRepresents and promotes the agri-marketing industry.\n'],['\nCanadian Agri-Marketing Association\n'],['\n\ninfo@cama.org\n\n\nhttps://www.cama.org/contact-us/\n\n'],6
556,['Canadian Agricultural Human Resource Council'],[],[' Across Canada '],['https://cahrc-ccrha.ca'],['\nAddresses human resource issues facing agricultural businesses across Canada.\n'],['\nCanadian Agricultural Human Resource Council\n'],"['\n1410 Blair Place, Suite 404, Ottawa, ON, K1J 9B9\n\ninfo@cahrc-ccrha.ca\n\n1-613-745-7457\n']",6
557,['Canadian Agricultural Loans Act (CALA) Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-loans-act-program'],['\nThe\xa0Canadian Agricultural Loans Act\xa0(CALA) Program is a loan guarantee program designed to increase the availability of loans to farmers and agricultural co-operatives.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.fgp-pgf.aac@agr.gc.ca\n\n1-866-367-8506\n1-613-773-2600\n'],6
558,['Canadian Agricultural Partnership'],[],[],['https://www.iti.gov.nt.ca/en/services/canadian-agricultural-partnership'],['\nThe Canadian Agricultural Partnership (CAP) is a suite of programs and funding designed to help support agriculture in Canada. It is delivered in the NWT by the GNWT in partnership with the Government of Canada.\n'],"['\nNorthwest Territories Department of Industry, Tourism and Investment\n']",['\n867-767-9205 ext 63107\n'],6
559,['Canadian Agricultural Partnership Cost-share Program'],[],[],['http://www.omafra.gov.on.ca/english/cap/index.htm'],"['http://www.omafra.gov.on.ca/english/cap/index.htm#supportingontarioEligible producers, processors, agri-business, organizations and collaborations can apply for cost-share funding for projects in three key priority areas.\nAll cost-share funding assistance under the Partnership will be merit-based and project funding amounts are individually established based on new and updated project categories.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-519-826-4047\n1-877-424-1300\n'],6
560,['Canadian Agricultural Partnership Program Guide - Newfoundland and Labrador'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/cap/'],"['\nThe Canadian Agricultural Partnership will provide $37 million in funding for the agriculture, agri-foods, and agri-products sector to support employment creation, new entrants, secondary processing, economic growth, and food self-sufficiency.\n']","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n\nCAP@gov.nl.ca\n\n1-709-637-2589\n1-709-637-2077\n'],6
561,['Canadian Agricultural Safety Association'],[],[' Across Canada '],['https://www.casa-acsa.ca/en/canadian-agricultural-safety-association/'],['\nPromotes farm safety in the agricultural sector.\n'],['\nCanadian Agricultural Safety Association\n'],"['\n3325–C Pembina Highway Winnipeg, MB, R3V 0A2\n1-204-452-2272\n1-877-452-2272\n1-204-261-5004\n\ninfo@casa-acsa.ca\n\n']",6
562,['Canadian Agricultural Strategic Priorities Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-strategic-priorities-program'],"['\nThe Canadian Agricultural Strategic Priorities Program (CASPP) supports the Canadian agricultural sector’s participation in the Government of Canada’s growth and policy objectives, by investing in the sector’s design, development and implementation of tools and strategies to respond to and seize opportunities created by these objectives.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-877-246-4682\n1-866-367-8506\n1-613-773-2600\n\naafc.caspp-pcpsa.aac@agr.gc.ca\n\n'],6
563,['Canadian Agriculture Partnership'],[],[],['https://yukon.ca/en/funding-agriculture'],['\nThe Canadian Agricultural Partnership provides funding to help Yukon agriculture. View our\xa0program guide\xa0to find our list of funding programs and find out if you are eligible to apply.\xa0\n'],"['\nGovernment of Yukon, Agriculture Branch\n']",['\n\nagriculture@gov.yk.ca\n\n1-867-393-6222\n1-867-667-5838\n'],6
564,['Canadian Albacore Tuna'],[],[' Across Canada '],['http://canadianalbacoretuna.com/'],['\nPromotes the Canadian albacore tuna industry.\n'],['\nCanadian Albacore Tuna\n'],"['\n4829 Maplegrove Street, Victoria, BC, V8Y 3B9\n1-250-658-0179\n\nCHMSF@ieccorporate.com\n\n']",6
565,['Canadian Angus Association'],[],[' Across Canada '],['https://cdnangus.ca/'],"['\nMaintains breed registry, breed purity and provides services that enhance the growth of the Angus breed.\n']",['\nCanadian Angus Association\n'],"['\n292140 Wagon Wheel Blvd, Rocky View County, AB, T4A 0E2\n\ncdnangus@cdnangus.ca\n\n1-403-571-3599\n1-403-571-3580\n1-888-571-3580\n']",6
566,['Canadian Animal Health Coalition'],[],[' Across Canada '],['https://animalhealth.ca/'],['\nPromotes a collaborative approach to Canadian animal health.\n'],['\nCanadian Animal Health Coalition\n'],"['\nBox 1314, Grand Bend, ON, N0M 1T0\n\ninfo@animalhealth.ca\n\n1-403-870-8784\n']",6
567,['Canadian Animal Health Institute'],[],[' Across Canada '],['https://www.cahi-icsa.ca/'],['\nRepresents the manufacturers and distributors of the medications that keep animals healthy.\n'],['\nCanadian Animal Health Institute\n'],"['\n160 Research Lane, Suite 102, Guelph, ON, N1G 5B2\n1-519-763-7777\n1-519-763-7407\n\ncahi@cahi-icsa.ca\n\n']",6
568,['Canadian Association for Food Studies'],[],[' Across Canada '],['https://foodstudies.info/'],"['\nPromotes education in food policy, production, distribution and consumption.\n']",['\nCanadian Association for Food Studies\n'],"['\nLakehead University, 955 Oliver Road, Thunder Bay, ON, P7B 5E1\n\ncafsadmin@foodstudies.ca\n\n\nhttps://cafs.landfood.ubc.ca/en/contact/\n\n']",6
569,['Canadian Association of Agri-Retailers'],[],[' Across Canada '],['https://caar.org'],"['\nProduces programs and services, protect members’ rights and interests, and supports the agriculture industry.\n']",['\nCanadian Association of Agri-Retailers\n'],"['\n205-1 Wesley Avenue, Winnipeg, MB R3C 4C6\n\ninfo@caar.org\n\n1-204-989-9306\n1-204-989-9300\n1-800-463-9323\n']",6
570,['Canadian Association of Fairs and Exhibitions'],[],[' Across Canada '],['https://www.canadian-fairs.ca/'],"['\nRepresents fairs, large urban exhibitions, and other associations connected to the Canadian fair industry.\n']",['\nCanadian Association of Fairs and Exhibitions\n'],"['\nP.O. Box 21053 (WEPO), Brandon, MB, R7B 3W8\n1-800-663-1714\n\ninfo@canadian-fairs.ca\n\n']",6
571,['Canadian Association of Farm Advisors'],[],[' Across Canada '],['https://www.cafanet.ca/'],['\nAssists farm businesses by increasing the skills and knowledge of farm advisors.\n'],['\nCanadian Association of Farm Advisors\n'],"['\nP.O. Box 270, Seven Sisters Falls, MB, R0E 1Y0\n1-204-348-3578\n1-877-474-2871\n\ninfo@cafanet.com\n\n']",6
572,['Canadian Association of Importers and Exporters'],[],[' Across Canada '],['https://iecanada.com/'],['\nRepresents the Canadian trade community.\n'],['\nCanadian Association of Importers and Exporters\n'],"['\n3601 HIGHWAY 7 EAST, MARKHAM, ONTARIO\n1-866-616-2243\n\ninfo@iecanada.com\n\n']",6
573,['Canadian Association of Prawn Producers'],[],[' Across Canada '],['https://www.shrimp-canada.com/'],"['\nRepresents the interests of producers of coldwater shrimp, and promotes sustainability and responsible management of coldwater shrimp.\n']",['\nCanadian Association of Prawn Producers\n'],"['\n1362 Revell Drive, Manotick, ON, K4M 1K8\n1-613-692-8249\n1-613-692-8250\n\noffice@shrimp-canada.com\n\n']",6
574,['Canadian Association of Professional Apiculturists'],['Guides/Information'],[' Across Canada '],['http://www.capabees.com/'],"['\nCanadian Association of Professional Apiculturists members study, educate and administrate in the fields of apiculture and pollination.\n']",['\nCanadian Association of Professional Apiculturists\n'],['\n\nhttp://www.capabees.com/contact-capa/\n\n'],6
575,['Canadian Beef Breeds Council'],[],[' Across Canada '],['http://www.canadianbeefbreeds.com/'],['\nRepresents the Canadian beef cattle seedstock sector.\n'],['\nCanadian Beef Breeds Council\n'],"['\n180- 6815 8th St. NE Calgary, Alberta Canada T2E 7H7\n\ninfo@beefbreeds.ca\n\n1-403-730-0350\n']",6
576,['Canadian Beef Grading Agency'],[],[' Across Canada '],['http://canadianbeefgradingage.live-website.com/'],['\nDelivers grading services for beef in Canada.\n'],['\nCanadian Beef Grading Agency\n'],"['\n#180, 6815-8th Street NE, Calgary, AB, T2E 7H7\n\ncbga@telus.net\n\n1-888-582-3888\n1-403-274-0301\n']",6
577,['Canadian Beverage Association'],[],[' Across Canada '],['https://www.canadianbeverage.ca/'],['\nRepresent the makers of non-alcoholic beverages across Canada.\n'],['\nCanadian Beverage Association\n'],"['\n20 Bay Street, WaterPark Place, Toronto, ON, M5J 2N8\n1-416-362-2424\n1-416-362-3229\n\ninfo@canadianbeverage.ca\n\n']",6
