,programTitle,infoCat,region,url,description,organization,contact,page
710,['Crop Diagnostic Services'],[],[],['https://www.gov.mb.ca/agriculture/crops/crop-diagnostic-services/'],"['\nHelps Manitoba farmers identify diseases, weeds and insects of agricultural and horticultural crops.\n']",['\nManitoba Agriculture and Resource Development\n'],['\n\nagriculture@gov.mb.ca\n\n1-844-769-6224\n\nhttps://www.gov.mb.ca/agriculture/contact/index.html\n\n'],9
711,['Crop Disease'],['Guides/Information'],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/crops-and-irrigation/disease'],['\nFind information on how to detect and address some common crop diseases in Saskatchewan.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3938\n1-866-457-2377\n'],9
712,['Crop Disease Management'],['Guides/Information'],[],['https://www.alberta.ca/crop-disease-management.aspx'],"['\nInformation concerning diagnosing plant problems, using new seed treatments and controlling diseases.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],9
713,['Crop Diseases'],['Guides/Information'],[],['https://www.alberta.ca/crop-diseases.aspx'],"['\nRegulated and non-regulated plant diseases that can harm cereal, forage, pulse, oilseed, fruit, vegetable and other crops.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],9
714,['Crop Guides and Publications'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/crops/guides-and-publications/index.html'],['\nMany of these information tools are available online. You can also pick up printed copies to stock your reference library.\n'],['\nManitoba Agriculture and Resource Development\n'],['\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],9
715,['Crop Guides and Publications'],['Guides/Information'],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/crops-and-irrigation/crop-guides-and-publications'],"['\nFind the Guide to Crop Protection, Varieties of Grain Crops and other publications geared towards crop production.\n']",['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3938\n1-866-457-2377\n'],9
716,['Crop Insect Information'],['Guides/Information'],[],['https://www.alberta.ca/crop-insect-information.aspx'],"['\nLearn about insects that affect Alberta’s crops, the damage they cause and how they’re monitored and controlled.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],9
717,['Crop Insects'],['Guides/Information'],[],['https://www.alberta.ca/crop-insects.aspx'],"['\nLearn about insects that affect Alberta’s crops, the damage they cause and how they’re monitored and controlled.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],9
718,['Crop Insurance (ASREC)'],[],[],['https://www.fadq.qc.ca/en/crop-insurance/description/'],['\nProvides protection for your crops against the risks associated with adverse weather conditions and uncontrollable natural phenomena.\n'],['\nLa Financière agricole du Québec\n'],"['\nHead Office\n1400, boulevard Guillaume-Couture, Lévis QC, Canada G6W 8K7\n\nhttps://www.fadq.qc.ca/en/contact-us/#c1385\n\n1-418-833-3871\n1-418-838-5602\n1-800-749-3646\n']",9
719,['Crop Markets and Statistics'],[],[],['https://www.gov.mb.ca/agriculture/markets-and-statistics/crop-statistics/index.html'],"['\nProvides a statistical overview of the major crops grown in Manitoba, including their outlook, market conditions and importance to the industry.\n']",['\nManitoba Agriculture and Resource Development\n'],['\n\nagriculture@gov.mb.ca\n\n1-844-769-6224\n\nhttps://www.gov.mb.ca/agriculture/contact/index.html\n\n'],9
720,['Crop Planning Guide and Crop Planner'],['Guides/Information'],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/farm-business-management/crop-planning-guide-and-crop-planner'],['\nCrop planning guides provide information that can help estimate the income and cost of production for different crops in the various soil zones in the province.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3727\n1-866-457-2377\n1-306-694-3938\n'],9
721,"['Crop Production (Feed Grains, Oilseeds, Pulses)']",['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/crops/crop-management/'],"[""\nProvides resources for growing Manitoba's major crops.\n""]",['\nManitoba Agriculture and Resource Development\n'],['\n\nagriculture@gov.mb.ca\n\n1-844-769-6224\n\nhttps://www.gov.mb.ca/agriculture/contact/index.html\n\n'],9
722,['Crop Production and Air Quality'],['Guides/Information'],[],['https://www.alberta.ca/crop-production-and-air-quality.aspx'],['\nInformation resources to help Alberta farmers minimize airborne emissions from cropping activities and pasture management.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],9
723,['Crop Protection Laboratory'],[],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/programs-and-services/crops-programs/crop-protection-laboratory-services'],['\nThe Crop Protection Lab provides diagnostic services to help growers identify and deal with pests that affect production.\n'],['\nSaskatchewan Ministry of Agriculture\n'],"['\nCrop Protection Laboratory\nRegina\n1-306-787-8803\n1-306-787-8130\n', '\nPrince Albert\n1-306-953-2440\n1-306-953-2795\n']",9
724,['Crop Publications'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/publications.html'],['\nListing of crop publications\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
725,['Crop Publications'],['Guides/Information'],[],['https://www.gov.nl.ca/ffa/publications/agriculture-and-lands/#plants'],"['\nPublications related to fruits, Christmas trees and grains.\n']","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2586\n1-709-637-2081\n'],9
726,['Crop Report'],[],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/market-and-trade-statistics/crops-statistics/crop-report'],"['\nKeep up to date on seeding, haying and harvest progress as well as on precipitation and soil moisture conditions\n']",['\nSaskatchewan Ministry of Agriculture\n'],['\nSara Tetland\n\nsara.tetland@gov.sk.ca\n\n1-306-694-3938\n1-306-694-3587\n'],9
727,['Crop Residue Burning Program'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/crops/crop-residue-burning-program/index.html'],"[""\nSmoke from burning crop residues affects people's health, road safety and the environment. Manitoba's smoke management plan\xa0encourages practical and responsible ways of dealing with crop residue.\n""]",['\nManitoba Agriculture and Resource Development\n'],['\n\nARD@gov.mb.ca\n\n204-745-5646\n'],9
728,['Crop Rotations - A Small Management Decision With A BIG Impact'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/crops/crop-management/small-management-decision.html'],"['\nAgronomically sound crop rotations can work for the health of your crop and make you money! It does not take extra machinery or extra inputs to make it work, just a plan.\n']",['\nManitoba Agriculture and Resource Development\n'],['\nManitoba Agriculture Office\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],9
729,['Crop Scouting - Resources for Vegetable Crop Scouts'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/cropscoutveg.htm'],['\nInformation on integrated pest management.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
730,['Crop Statistics'],[],[],['https://www.alberta.ca/crop-statistics.aspx'],['\nProvincial and national statistics related to crops.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],9
731,['Crop Statistics'],[],[],['https://www.gov.nl.ca/ffa/marketing-and-statistics/agriculture/crop/'],"[""\nLearn more about Newfoundland and Labrador's marketing studies and product statistics.\n""]","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2586\n1-709-637-2081\n'],9
732,['Crop Talk'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/field/news/news_croptalk.html'],"['\nCrop Talk discusses field crop (corn, soybean, cereals, forages, edible beans, canola, etc) production issues in Ontario.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
733,['Crop Updates'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/crop_updates.html'],['\nCrop Updates will be issued every two weeks throughout the growing season.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2108\n1-888-622-4742\n'],9
734,['Crop and Pest Updates'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/updates.html'],['\nUpdates on cops and pests in Ontario.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
735,['CropLife Canada'],[],[' Across Canada '],['https://croplife.ca/'],"['\nRepresents the Canadian manufacturers, developers and distributors of pest control and modern plant breeding products.\n']",['\nCropLife Canada\n'],"['\n1201–350 Sparks Street, Ottawa, ON, K1R 7S8\n1-613-230-9881\n\nhttps://croplife.ca/contact/\n\n']",9
736,['Cropping alternatives : crop budget planning'],[],[],['https://open.alberta.ca/publications/agriprofits-cropping-alternatives'],"['\nPresents regional forecasts on the prices, yields, seed and fertilizer costs of various crops in Alberta.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],9
737,['Crops'],['Guides/Information'],[],['https://www.princeedwardisland.ca/en/topic/crops'],['\nProvides information resources about crops in Prince Edward Island.\xa0\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n\nDeptAgLand@gov.pe.ca\n\n1-902-368-4857\n1-902-368-4880\n1-866-734-3276\n'],9
738,['Crops'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/index.html'],['\nProvides an index of resources about crops grown in Ontario.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\xa0\n\n1-877-424-1300\n'],9
739,['Crops Programs'],[],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/programs-and-services/crops-programs'],"['\nFind crop protection lab services, pest control programs and officers.\n']",['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3938\n1-866-457-2377\n'],9
740,['Crops Statistics'],[],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/market-and-trade-statistics/crops-statistics'],"['\n\nWhether you are a producer, manufacturer or buyer these pages will provide you with the most current and accurate statistical information related to crop production in our province.\n\n']",['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3938\n1-866-457-2377\n'],9
741,['Crops and Irrigation'],['Guides/Information'],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/crops-and-irrigation'],['\nSeasonal updates and information on crop production and irrigation in Saskatchewan.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n\naginfo@gov.sk.ca\n\n1-306-694-3938\n1-866-457-2377\n'],9
742,['Crown Lands - Lease for Agricultural Purposes (other than blueberry)'],[],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.554.Crown_Lands_-_Lease_for_Agricultural_Purposes.html'],"['\nUnder certain terms and conditions, Crown Land may be leased from the Department of Agriculture, Aquaculture and Fisheries (DAAF) for the purpose of agricultural production.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']","['\nContact SNB (Payment Only)\n\nsnb@snb.ca\n\n', '\nBusiness Growth (Branch)\n\nDAAF-MAAP@gnb.ca\n\n1-506-743-7222\n']",9
743,['Cull Potato Holding Permits'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/cull-potato-holding-permits'],['\nA Potato Holding Permit is an official letter issued by a Regulatory Inspector with the Department of Agriculture and Land. It authorizes the permit applicant to hold bulk potato tubers or potato debris on their property under specified conditions from June 15th to August 31st.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-368-4880\n1-866-734-3276\n\nDeptAgLand@gov.pe.ca\n\n'],9
744,['Culling Strategies for the Sheep Flock'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/sheep/facts/info_cullstrat.htm'],['\nInformation on culling strategies for sheep.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
745,['Cultivar Profiles: Sunrise Apple'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/info_sunrise.htm'],['\nInformation on sunrise apples.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
746,['Currants and Gooseberries'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/98-095.htm'],['\nThis factsheet contains information on currants and gooseberries.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],9
747,['Current Government of Yukon Scientific Research'],[],[],['https://yukon.ca/en/current-research'],['\nThe government conducts and supports research and monitoring activities on over 80 projects.\xa0See our current research and monitoring activities.\n'],"['\nGovernment of Yukon, Agriculture Branch\n']",['\n1-867-667-5838\n1-867-393-6222\n\nagriculture@gov.yk.ca\n\n'],9
748,['Custom Farmwork Rate Calculator'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/download/calc_farmwork.htm'],['\nThe Custom Farm work Rate Calculator is an excel worksheet that allows you to calculate what to charge for custom farmwork\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
749,['Custom Grazing Cattle'],['Guides/Information'],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/livestock/cattle-poultry-and-other-livestock/cattle/custom-grazing-cattle'],"[""\nCustom grazing is an arrangement in which one person provides the pasture, water and grazing management expertise for another person's livestock. Custom grazing is commonly done with stocker cattle, but can also involve cows with calves at side.\n""]",['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3727\n1-866-457-2377\n1-306-694-3938\n'],9
750,['Customer Service Strategies That Work'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/facts/14-029.htm'],"['\nThis factsheet discusses strategies to establish customer loyalty, principles in delivering exceptional customer service and strategies to improve the customer experience.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],9
751,['Cutting Cow Feed Costs'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/beef/news/vbn0211a1.htm'],['\nInformation on cutting cow feed costs\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
752,"['Cutting, Conditioning & Raking For Faster Hay Drying']",['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/fasterdryinghay.htm'],['\nHere are a few management practices that can improve your odds against rain damaged hay.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
753,['Dairy'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/livestock/production/dairy/index.html'],['\nProvides information to increase and improve the productivity and milk quality of a dairy herd through the use of sound milking management practices.\n'],['\nManitoba Agriculture and Resource Development\n'],['\n\nagriculture@gov.mb.ca\n\n1-844-769-6224\n\nhttps://www.gov.mb.ca/agriculture/contact/index.html\n\n'],9
754,['Dairy Direct Payment Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/dairy-direct-payment-program'],['\nCompensation to dairy producers as a result of market access commitments made under recent international trade agreements.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\ninfo.direct.p@cdc-ccl.gc.ca\n\n1-613-773-2600\n1-877-246-4682\n'],9
755,['Dairy Farm Inspection Program'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/animals/health/dairy-farm/'],['\nThe Dairy Farm Inspection Program provides routine inspection and sampling of milk.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']","['\nFood Safety Specialist\n1-709-729-0055\n1-709-729-7674\n', '\nChief Veterinary Officer/Director\n\nocvo@gov.nl.ca\n\n1-709-729-0055\n1-709-729-6879\n']",9
756,['Dairy Farm Investment Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/dairy-farm-investment-program'],"[""\nProvides funding to help Canadian cow's milk producers improve productivity through upgrades to their equipment.\n""]",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.dfip-pifl-phase2.aac@agr.gc.ca\n\n1-877-949-4885\n1-877-246-4682\n1-613-773-2600\n'],9
757,['Dairy Farmers of Canada'],[],[' Across Canada '],['https://dairyfarmersofcanada.ca/en/dairy-in-canada'],['\nRepresents the interests of Canadian dairy farm workers.\n'],['\nDairy Farmers of Canada\n'],"['\n21 Florence Street, Ottawa, ON, K2P 0W6\n1-613-236-9997\n1-613-236-0905\n\ncommunications@dfc-plc.ca\n\n']",9
758,['Dairy Farmers of New Brunswick'],[],[],['https://www.nbmilk.org/en/'],['\nRepresents the interests of New Brunswick dairy farmers and promotes marketing of raw milk.\n'],['\nDairy Farmers of New Brunswick\n'],"['\nSteve Michaud\nP.O. Box 5034, Sussex, NB, E4E 5L2\n1-506-432-4330\n1-506-432-4333\n\nnbmilk@nbmilk.org\n\n']",9
759,['Dairy Farmers of Nova Scotia'],[],[],['https://www.dfns.ca/'],"[""\nProvides regulatory and administrative services to Nova Scotia's dairy producers.\n""]",['\nDairy Farmers of Nova Scotia\n'],"['\nBrian Cameron\nSuite 100, 4060 Highway 236, Lower Truro, NS, B6L 1J9\n1-902-893-6455\n1-902-897-9768\n\ndfns@dfns.ca\n\n']",9
760,['Dairy Farmers of Ontario'],[],[],['https://www.milk.org/'],['\nRepresents Ontario dairy farmers.\n'],['\nDairy Farmers of Ontario\n'],"['\n6780 Campobello Road, Mississauga, ON, L5N 2L8\n1-905-821-8970\n1-905-821-3160\n\nquestions@milk.org\n\n']",9
761,['Dairy Farmers of Prince Edward Island'],[],[],['https://www.dfpei.pe.ca/'],['\nAdministers and regulates the dairy industry in PEI.\n'],['\nDairy Farmers of Prince Edward Island\n'],"['\nSuite 204, 420 University Avenue, Charlottetown, PE, C1A 7Z5\n1-902-829-5331\n1-800-240-9719\n1-902-566-2755\n\ndfpei@dfpei.pe.ca\n\n']",9
762,['Dairy Industry'],['Guides/Information'],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/animals/livestock/dairy/'],['\nInformation on the dairy industry in Newfoundland and Labrador.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2589\n1-709-637-2077\n'],9
763,['Dairy Innovation Program (DIP)'],[],[' Across Canada '],['http://www.milkingredients.ca/index-eng.php?id=147'],['\nThe DIP is designed to grant dairy processors with continued access to the milk they require to produce innovative dairy products without affecting their existing provincial milk plant supply allocation.\n'],['\nCanadian Dairy Commission\n'],['\n\nadrienne.morin@cdc-ccl.gc.ca\n\n613-286-0439\n1-866-366-0676\n'],9
764,['Dairy Lab Testing'],[],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.536.Dairy_Lab_Testing.html'],"['\nThe Provincial Dairy Laboratory provides milk quality testing as required under the Natural Products Act, composition testing as a service to the Dairy Farmers of New Brunswick for payment purposes as well as to dairy products processors for quality control purposes.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']","['\nContact SNB (Payment Only)\n\nsnb@snb.ca\n\n', '\nAgriculture (Division)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-3826\n']",9
765,['Dairy Licences'],[],[],['http://www2.gnb.ca/content/gnb/en/departments/10/services/services_renderer.535.Dairy_Licences.html'],"['\nA licence is required for all persons wishing to engage in the producing, processing or marketing of milk or any dairy product in New Brunswick.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-444-5969\n1-506-453-2172\n1-888-622-4742\n'],9
766,['Dairy Processing Investment Fund'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/dairy-processing-investment-fund'],['\nProvides funding to dairy processors for investments that will improve productivity and competitiveness.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.dpif-fitpl.aac@agr.gc.ca\n\n1-877-246-4682\n'],9
767,['Dairy Processors Association of Canada'],[],[' Across Canada '],['http://www.dpac-atlc.ca/'],['\nRepresents the Canadian dairy processing sector.\n'],['\nDairy Processors Association of Canada\n'],"['\n220 Laurier Avenue West, Suite 500, Ottawa, ON, K1P 5Z9\n1-613-232-7242\n\nhttps://www.dpac-atlc.ca/contact-us/\n\n']",9
768,['Dairy Research Blog'],[],[' Across Canada '],['https://dairyresearchblog.ca/'],"['\nThe Dairy Research Blog contains some of the latest information on Canadian research in dairy production, human nutrition and health and dairy genetics\n']",['\nDairy Farmers of Canada\n'],['\n\nshelley.crabtree@dairyresearch.ca\n\n'],9
769,['Dairy statistics and market information'],[],[' Across Canada '],['https://agriculture.canada.ca/en/canadas-agriculture-sectors/animal-industry/canadian-dairy-information-centre/dairy-statistics-and-market-information'],"['\nInformation and statistics related to the Canadian dairy industry including statistics on milk production, quota exchanges and prices, dairy farming revenue, consumption of dairy products, imports and exports and world market prices.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n\naafc.cdic-ccil.aac@agr.gc.ca\n\n'],9
770,['Damage to Standing Forage'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/programs/agriculture-insurance-and-income-protection-programs/crop-loss-damage-due-to-wildlife/damage-to-standing-forage'],['\nAgriculture producers can get compensation due to wildlife damage to some harvested and unharvested crops by enrolling in the Agriculture Wildlife Program.\n'],['\nBritish Columbia Ministry of Agriculture\n'],"['\nAbbotsford\n1-604-556-3001\n1-888-221-7141\n', '\nCranbrook\n1-250-420-6203\n', '\nDawson Creek\n1-250-784-2236\n1-877-772-2200\n', '\nFt. St. John\n1-250-787-3240\n1-888-822-1345\n', '\nKamloops\n1-250-828-4506\n1-888-823-3355\n', '\nKelowna\n1-250-712-3797\n1-888-332-3352\n', '\nOliver\n1-250-498-5250\n1-888-812-8811\n', '\nWilliams Lake\n1-250-398-4500\n1-800-474-6133\n']",9
771,['Damage to Standing Grain'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/programs/agriculture-insurance-and-income-protection-programs/crop-loss-damage-due-to-wildlife/damage-to-standing-grain'],['\nAgriculture producers can get compensation due to wildlife damage to some harvested and unharvested crops by enrolling in the Agriculture Wildlife Program.\n'],['\nBritish Columbia Ministry of Agriculture\n'],"['\nAbbotsford\n1-604-556-3001\n1-888-221-7141\n', '\nCranbrook\n1-250-420-6203\n', '\nDawson Creek\n1-250-784-2236\n1-877-772-2200\n', '\nFt. St. John\n1-250-787-3240\n1-888-822-1345\n', '\nKamloops\n1-250-828-4506\n1-888-823-3355\n', '\nKelowna\n1-250-712-3797\n1-888-332-3352\n', '\nOliver\n1-250-498-5250\n1-888-812-8811\n', '\nWilliams Lake\n1-250-398-4500\n1-800-474-6133\n']",9
772,['Daphne Taylor Milk Quality Award of Excellence Program'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/animals/health/vetinfo/dairy/daphne-award/'],"[""\nDaphne Taylor was a strong contributor to this province's dairy industry and the Daphne Taylor Milk Quality Award of Excellence Program recognizes excellence in the production of quality milk.\n""]","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\nAnimal Health Division\nFood Safety Specialist\n1-709-729-0055\n1-709-729-7674\n'],9
773,['Daylily Rust'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/04-089.htm'],"['\nThis is a factsheet that provides technical information regarding the history, symptoms, diagnosis, susceptibility, biology and life cycle and management guidelines for daylily rust on daylilies in Ontario.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],9
774,['Dayneutral Strawberries'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/89-099.htm'],['\nThis Factsheet is intended to provide growers with the latest information on dayneutral culture.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],9
775,['Dead Livestock Removal Services'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/dead-livestock-removal-services'],['\nA dead livestock removal service is available in PEI on a Province-wide basis to all beef & dairy producers.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n\nDeptAgLand@gov.pe.ca\n\n1-902-368-4857\n1-902-368-4880\n'],9
776,['Deadstock Disposal'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/deadstock/index.html'],['\nProvides resources on livestock disposal options for livestock producers.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-877-424-1300\n'],9
777,['Deadstock Disposal'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/environment/bmp/deadstock.htm'],['\nBest management practices are discussed.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
778,['Deadstock Disposal Options for On-Farm'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/engineer/facts/09-025.htm'],['\nFactsheet on options for on-farm disposal of deadstock.\xa0\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
779,['Deadstock Disposal Resources from Other Jurisdictions'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/deadstock/facts/other_jur.htm'],['\nThis page contains deadstock disposal resources.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
780,['Deadstock Regulations'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/nm/regs/deadstock/summary.htm'],['\nInformation on deadstock regulations in Ontario.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],9
781,['Dealers and Agents Licence'],['Guides/Information'],[],['https://www.manitoba.ca/agriculture/livestock/other/dealer-and-agent-license/index.html'],"['\nDepartment of Agriculture and Resource Development\xa0(ARD)\xa0reminds livestock producers to be careful in negotiating any sales of livestock, particularly from the farm gate.\n']",['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagriculture@gov.mb.ca\n\n\nhttps://www.gov.mb.ca/agriculture/contact/index.html\n\n'],9
